

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
146.010  000.262  000.262: require('cmp_nvim_lsp.source')
146.015  000.683  000.420: require('cmp_nvim_lsp')
146.420  000.399  000.399: require('neodev')
146.674  000.249  000.249: require('neodev.config')
147.311  000.302  000.302: require('neodev.util')
147.318  000.630  000.328: require('neodev.lsp')
151.537  000.472  000.472: require('vim.lsp.log')
152.682  001.140  001.140: require('vim.lsp.protocol')
155.130  000.681  000.681: require('vim.lsp._snippet')
155.515  000.380  000.380: require('vim.highlight')
155.538  002.851  001.790: require('vim.lsp.util')
155.575  005.395  000.933: require('vim.lsp.handlers')
156.406  000.828  000.828: require('vim.lsp.rpc')
157.024  000.613  000.613: require('vim.lsp.sync')
158.253  001.219  001.219: require('vim.lsp.buf')
158.939  000.681  000.681: require('vim.lsp.diagnostic')
159.696  000.752  000.752: require('vim.lsp.codelens')
159.882  011.612  002.124: require('vim.lsp')
160.143  012.823  001.211: require('lspconfig.util')
161.808  000.864  000.864: require('lspconfig.configs')
161.814  001.211  000.347: require('lspconfig')
162.298  000.482  000.482: require('lspconfig.server_configurations.pyright')
163.215  000.604  000.604: require('lspconfig.server_configurations.jdtls')
163.758  000.331  000.331: require('lspconfig.server_configurations.texlab')
164.214  000.259  000.259: require('lspconfig.server_configurations.sumneko_lua')
164.417  019.409  001.738: require('lsp-config.language-servers')
166.842  000.258  000.258: require('luasnip.session')
167.472  000.624  000.624: require('luasnip.util.util')
167.627  000.151  000.151: require('luasnip.util.types')
168.101  000.236  000.236: require('luasnip.util.ext_opts')
168.106  000.475  000.239: require('luasnip.nodes.util')
168.254  000.146  000.146: require('luasnip.util.events')
168.266  002.021  000.367: require('luasnip.nodes.node')
168.825  000.189  000.189: require('luasnip.util.extend_decorator')
168.834  000.566  000.377: require('luasnip.nodes.insertNode')
169.020  000.184  000.184: require('luasnip.nodes.textNode')
169.271  000.247  000.247: require('luasnip.util.mark')
170.249  000.719  000.719: require('luasnip.util._builtin_vars')
170.432  001.157  000.438: require('luasnip.util.environ')
170.643  000.208  000.208: require('luasnip.util.pattern_tokenizer')
170.811  000.163  000.163: require('luasnip.util.dict')
171.109  000.295  000.295: require('luasnip.session.snippet_collection')
171.146  005.827  000.985: require('luasnip.nodes.snippet')
171.660  000.173  000.173: require('luasnip.loaders._caches')
171.930  000.266  000.266: require('luasnip.util.path')
171.958  000.809  000.370: require('luasnip.loaders')
172.221  000.255  000.255: require('luasnip.util.log')
172.504  000.268  000.268: require('luasnip.nodes.functionNode')
172.926  000.418  000.418: require('luasnip.nodes.choiceNode')
173.322  000.391  000.391: require('luasnip.nodes.dynamicNode')
173.698  000.372  000.372: require('luasnip.nodes.restoreNode')
174.767  000.252  000.252: require('luasnip.util.parser.neovim_ast')
175.793  000.212  000.212: require('luasnip.util.directed_graph')
175.802  001.738  001.274: require('luasnip.util.parser.ast_utils')
176.286  000.159  000.159: require('luasnip.util.functions')
176.293  000.489  000.330: require('luasnip.util.parser.ast_parser')
176.740  000.445  000.445: require('luasnip.util.parser.neovim_parser')
